publishedAt,title,description,url,source.name,author
2025-09-20 16:00:00+00:00,This Historic Train Climbs the Tallest Mountain in New England—and It Has Prime Fall Foliage Views,Riding the Mount Washington Cog Railway is one of New Hampshire’s best fall activities.,https://www.travelandleisure.com/mount-washington-cog-railway-11811822,Travel+Leisure,Lydia Mansel
2025-09-28 04:50:59+00:00,"Polish skier becomes first to climb, ski down Everest without bottled oxygen","In 2018, the Polish climber was the first person to ski down Pakistan’s K2, the second highest mountain in the world.",https://indianexpress.com/article/world/polish-skier-first-climb-ski-down-everest-without-bottled-oxygen-10275916/,The Indian Express,Express Web Desk
2025-09-10 17:34:37+00:00,CLEAREST EVER SIGNS OF LIFE ON MARS...,NASA has revealed the clearest signs of life on Mars ever after making an incredible rover discovery. Evidence of ancient alien microbes have been uncovered in a dry river channel formed roughly 3.…,https://www.the-sun.com/tech/15159152/nasa-mars-discovery-rover-evidence-alien-microbes/,The-sun.com,Georgie English
2025-09-02 07:52:51+00:00,"Sudan landslide claims 1,000 lives, village 'completely levelled'",The Sudan Liberation Movement/Army is appealing to the United Nations to help recover the bodies of victims from a deadly landslide that destroyed a village in the Marra Mountains.,https://www.abc.net.au/news/2025-09-02/sudan-landslide-kills-at-least-1000-people-in-marra-mountains/105724084,ABC News (AU),ABC News
2025-08-30 15:50:00+00:00,"The geology that holds up the Himalayas is not what we thought, scientists discover","A 100-year-old theory explaining how Asia can carry the huge weight of the Himalayas and Tibetan Plateau needs to be rewritten, a new study suggests.",https://www.livescience.com/planet-earth/geology/the-geology-that-holds-up-the-himalayas-is-not-what-we-thought-scientists-discover,Live Science,"sascha.pare@futurenet.com (Sascha Pare) , Sascha Pare"
2025-09-02 06:17:44+00:00,"Sudan landslide kills more than 1,000, says rebel group","A ""massive"" landslide in Sudan's western Darfur region has flattened an entire mountain village and killed more than 1,000 people, leaving just one survivor, a rebel group that controls the area has said.",https://www.rte.ie/news/world/2025/0902/1531319-sudan-landslide/,RTE,RTÉ News
2025-09-10 17:30:07+00:00,All Mt. Fuji summit trails are now closed as hiking season ends,"But as one season of Fuji fun ends, another is just beginning. Mt. Fuji may be a timeless symbol of Japan, but that doesn’t mean that people can hike it anytime they want, and as of Wednesday, Japan’s tallest mountain is closed. There are four trails that lea…",https://soranews24.com/2025/09/11/all-mt-fuji-summit-trails-are-now-closed-as-hiking-season-ends/,SoraNews24,Casey Baseel
2025-09-05 01:06:00+00:00,Trump to rebrand the Pentagon as the 'Department of War',"The president's controversial move could cost tens of millions, with letterheads and building signs in the US and at military bases around the world potentially needing a refresh.",https://news.sky.com/story/trump-to-rebrand-the-pentagon-as-the-department-of-war-13425267,Sky.com,
2025-09-02 06:30:05+00:00,"More than 1,000 people killed in massive landslide in Sudan after days of heavy rain","The disaster struck Sunday after days of heavy rain, devastating the village of Tarasin in the Marra mountains.",https://www.thejournal.ie/landslide-darfur-sudan-6805129-Sep2025/,TheJournal.ie,AFP
2025-09-10 20:15:34+00:00,102-Year-Old Man Becomes the Oldest Person to Ever Summit Mount Fuji,"102-Year-Old Man Becomes the Oldest Person to Ever Summit Mount Fuji
Scaling Mount Fuji can be an enormous task at any age—after all, it stands as Japan’s tallest mountain at 12,388 feet. Despite all that, Kokichi Akuzawa recently defied expectation, becoming…",https://mymodernmet.com/102-year-old-man-mount-fuji-world-record/,My Modern Met,Eva Baron
