card_name,set_id,card_number,binder_name,page_number,slot_number
Alakazam,base1,1,1,1,1
Blastoise,base1,2,1,1,2
Chansey,base1,3,1,1,3
Charizard,base1,4,1,1,4
Clefairy,base1,5,1,1,5
Gyarados,base1,6,1,1,6
Hitmonchan,base1,7,1,1,7
Machamp,base1,8,1,1,8
Magneton,base1,9,1,1,9
Mewtwo,base1,10,1,2,1
Nidoking,base1,11,1,2,2
Ninetales,base1,12,1,2,3
Poliwrath,base1,13,1,2,4
Raichu,base1,14,1,2,5
Venusaur,base1,15,1,2,6
Zapdos,base1,16,1,2,7
Beedrill,base1,17,1,2,8
Dragonair,base1,18,1,2,9
Dugtrio,base1,19,1,3,1
Electabuzz,base1,20,1,3,2
Electrode,base1,21,1,3,3
Pidgeotto,base1,22,1,3,4
Arcanine,base1,23,1,3,5
Charmeleon,base1,24,1,3,6
Dewgong,base1,25,1,3,7
Dratini,base1,26,1,3,8
Farfetch'd,base1,27,1,3,9
Growlithe,base1,28,1,4,1
Haunter,base1,29,1,4,2
Ivysaur,base1,30,1,4,3
Jynx,base1,31,1,4,4
Kadabra,base1,32,1,4,5
Kakuna,base1,33,1,4,6
Machoke,base1,34,1,4,7
Magikarp,base1,35,1,4,8
Magmar,base1,36,1,4,9
Nidorino,base1,37,1,5,1
Poliwhirl,base1,38,1,5,2
Porygon,base1,39,1,5,3
Raticate,base1,40,1,5,4
Seel,base1,41,1,5,5
Wartortle,base1,42,1,5,6
Abra,base1,43,1,5,7
Bulbasaur,base1,44,1,5,8
Caterpie,base1,45,1,5,9
Charmander,base1,46,1,6,1
Diglett,base1,47,1,6,2
Doduo,base1,48,1,6,3
Drowzee,base1,49,1,6,4
Gastly,base1,50,1,6,5
Koffing,base1,51,1,6,6
Machop,base1,52,1,6,7
Magnemite,base1,53,1,6,8
Metapod,base1,54,1,6,9
Nidoran ♂,base1,55,1,7,1
Onix,base1,56,1,7,2
Pidgey,base1,57,1,7,3
Pikachu,base1,58,1,7,4
Poliwag,base1,59,1,7,5
Ponyta,base1,60,1,7,6
Rattata,base1,61,1,7,7
Sandshrew,base1,62,1,7,8
Squirtle,base1,63,1,7,9
Starmie,base1,64,1,8,1
Staryu,base1,65,1,8,2
Tangela,base1,66,1,8,3
Voltorb,base1,67,1,8,4
Vulpix,base1,68,1,8,5
Weedle,base1,69,1,8,6
Clefairy Doll,base1,70,1,8,7
Computer Search,base1,71,1,8,8
Devolution Spray,base1,72,1,8,9
Impostor Professor Oak,base1,73,1,9,1
Item Finder,base1,74,1,9,2
Lass,base1,75,1,9,3
Pokémon Breeder,base1,76,1,9,4
Pokémon Trader,base1,77,1,9,5
Scoop Up,base1,78,1,9,6
Super Energy Removal,base1,79,1,9,7
Defender,base1,80,1,9,8
Energy Retrieval,base1,81,1,9,9
Full Heal,base1,82,1,10,1
Maintenance,base1,83,1,10,2
PlusPower,base1,84,1,10,3
Pokémon Center,base1,85,1,10,4
Pokémon Flute,base1,86,1,10,5
Pokédex,base1,87,1,10,6
Professor Oak,base1,88,1,10,7
Revive,base1,89,1,10,8
Super Potion,base1,90,1,10,9
Bill,base1,91,1,11,1
Energy Removal,base1,92,1,11,2
Gust of Wind,base1,93,1,11,3
Potion,base1,94,1,11,4
Switch,base1,95,1,11,5
Double Colorless Energy,base1,96,1,11,6
Fighting Energy,base1,97,1,11,7
Fire Energy,base1,98,1,11,8
Grass Energy,base1,99,1,11,9
Lightning Energy,base1,100,1,12,1
Psychic Energy,base1,101,1,12,2
Water Energy,base1,102,1,12,3
Charizard,base1,4,1,12,4
Blastoise,base1,2,1,12,5
Venusaur,base1,15,1,12,6
Mewtwo,base1,10,1,12,7
Zapdos,base1,16,1,12,8
Raichu,base1,14,1,12,9
Alakazam,base1,1,1,13,1
Chansey,base1,3,1,13,2
Ninetales,base1,12,1,13,3
Machamp,base1,8,1,13,4
Charizard,base1,4,1,13,5
Mewtwo,base1,10,1,13,6
Pikachu,base1,58,1,13,7
Bulbasaur,base1,44,1,13,8
Charmander,base1,46,1,13,9
Squirtle,base1,63,1,14,1
Pidgey,base1,57,1,14,2
Rattata,base1,61,1,14,3
Clefairy,base1,5,1,14,4
Jynx,base1,31,1,14,5
Magikarp,base1,35,1,14,6
Abra,base1,43,1,14,7
Machop,base1,52,1,14,8
Magnemite,base1,53,1,14,9
Koffing,base1,51,1,15,1
Gastly,base1,50,1,15,2
Vulpix,base1,68,1,15,3
Ponyta,base1,60,1,15,4
Drowzee,base1,49,1,15,5
Diglett,base1,47,1,15,6
Weedle,base1,69,1,15,7
Caterpie,base1,45,1,15,8
Nidoran ♂,base1,55,1,15,9
Poliwag,base1,59,1,16,1
Poliwhirl,base1,38,1,16,2
Ivysaur,base1,30,1,16,3
Wartortle,base1,42,1,16,4
Charmeleon,base1,24,1,16,5
Kadabra,base1,32,1,16,6
Machoke,base1,34,1,16,7
Kakuna,base1,33,1,16,8
Metapod,base1,54,1,16,9
Dragonair,base1,18,1,17,1
Dratini,base1,26,1,17,2
Growlithe,base1,28,1,17,3
Arcanine,base1,23,1,17,4
Electrode,base1,21,1,17,5
Electabuzz,base1,20,1,17,6
Starmie,base1,64,1,17,7
Staryu,base1,65,1,17,8
Double Colorless Energy,base1,96,1,17,9
Professor Oak,base1,88,1,18,1
Bill,base1,91,1,18,2
Energy Removal,base1,92,1,18,3
Pokédex,base1,87,1,18,4
Switch,base1,95,1,18,5
Potion,base1,94,1,18,6
Super Potion,base1,90,1,18,7
Pokémon Center,base1,85,1,18,8
Energy Retrieval,base1,81,1,18,9
Fire Energy,base1,98,1,19,1
Lightning Energy,base1,100,1,19,2
Water Energy,base1,102,1,19,3
Grass Energy,base1,99,1,19,4
Psychic Energy,base1,101,1,19,5
Fighting Energy,base1,97,1,19,6
Double Colorless Energy,base1,96,1,19,7
Charizard,base1,4,1,19,8
Blastoise,base1,2,1,19,9
Venusaur,base1,15,1,20,1
Mewtwo,base1,10,1,20,2
Zapdos,base1,16,1,20,3
Gyarados,base1,6,1,20,4
Poliwrath,base1,13,1,20,5
Nidoking,base1,11,1,20,6
Hitmonchan,base1,7,1,20,7
Magneton,base1,9,1,20,8
Chansey,base1,3,1,20,9
