index,card_id,card_name,card_number,set_id,set_name,binder_name,page_number,slot_number,card_market_value
0_1_1,base1-1,Alakazam,1,base1,Base Set,0,1,1,65.5
0_2_8,base1-4,Charizard,4,base1,Base Set,0,2,8,250.75
0_3_4,base1-58,Pikachu,58,base1,Base Set,0,3,4,5.15
0_3_5,base1-58,Pikachu,58,base1,Base Set,0,3,5,5.15
1_1_1,base1-1,Alakazam,1,base1,Base Set,1,1,1,65.5
1_1_2,base1-2,Blastoise,2,base1,NOT_FOUND,1,1,2,0.0
1_1_3,base1-3,Chansey,3,base1,NOT_FOUND,1,1,3,0.0
1_1_4,base1-4,Charizard,4,base1,Base Set,1,1,4,250.75
1_1_5,base1-5,Clefairy,5,base1,NOT_FOUND,1,1,5,0.0
1_1_6,base1-6,Gyarados,6,base1,NOT_FOUND,1,1,6,0.0
1_1_7,base1-7,Hitmonchan,7,base1,NOT_FOUND,1,1,7,0.0
1_1_8,base1-8,Machamp,8,base1,NOT_FOUND,1,1,8,0.0
1_1_9,base1-9,Magneton,9,base1,NOT_FOUND,1,1,9,0.0
1_2_1,base1-10,Mewtwo,10,base1,NOT_FOUND,1,2,1,0.0
1_2_2,base1-11,Nidoking,11,base1,NOT_FOUND,1,2,2,0.0
1_2_3,base1-12,Ninetales,12,base1,NOT_FOUND,1,2,3,0.0
1_2_4,base1-13,Poliwrath,13,base1,NOT_FOUND,1,2,4,0.0
1_2_5,base1-14,Raichu,14,base1,NOT_FOUND,1,2,5,0.0
1_2_6,base1-15,Venusaur,15,base1,NOT_FOUND,1,2,6,0.0
1_2_7,base1-16,Zapdos,16,base1,NOT_FOUND,1,2,7,0.0
1_2_8,base1-17,Beedrill,17,base1,NOT_FOUND,1,2,8,0.0
1_2_9,base1-18,Dragonair,18,base1,NOT_FOUND,1,2,9,0.0
1_3_1,base1-19,Dugtrio,19,base1,NOT_FOUND,1,3,1,0.0
1_3_2,base1-20,Electabuzz,20,base1,NOT_FOUND,1,3,2,0.0
1_3_3,base1-21,Electrode,21,base1,NOT_FOUND,1,3,3,0.0
1_3_4,base1-22,Pidgeotto,22,base1,NOT_FOUND,1,3,4,0.0
1_3_5,base1-23,Arcanine,23,base1,NOT_FOUND,1,3,5,0.0
1_3_6,base1-24,Charmeleon,24,base1,NOT_FOUND,1,3,6,0.0
1_3_7,base1-25,Dewgong,25,base1,NOT_FOUND,1,3,7,0.0
1_3_8,base1-26,Dratini,26,base1,NOT_FOUND,1,3,8,0.0
1_3_9,base1-27,Farfetch'd,27,base1,NOT_FOUND,1,3,9,0.0
1_4_1,base1-28,Growlithe,28,base1,NOT_FOUND,1,4,1,0.0
1_4_2,base1-29,Haunter,29,base1,NOT_FOUND,1,4,2,0.0
1_4_3,base1-30,Ivysaur,30,base1,NOT_FOUND,1,4,3,0.0
