card_id,card_name,set_name,rarity,market_price
base1-1,Alakazam,Base,Rare Holo,56.98
base1-2,Blastoise,Base,Rare Holo,160.06
base1-3,Chansey,Base,Rare Holo,32.04
base1-4,Charizard,Base,Rare Holo,455.47
base1-5,Clefairy,Base,Rare Holo,25.06
base1-6,Gyarados,Base,Rare Holo,31.94
base1-7,Hitmonchan,Base,Rare Holo,19.08
base1-8,Machamp,Base,Rare Holo,N/A
base1-9,Magneton,Base,Rare Holo,20.12
base1-10,Mewtwo,Base,Rare Holo,33.61
base1-11,Nidoking,Base,Rare Holo,27.84
base1-12,Ninetales,Base,Rare Holo,24.16
base1-13,Poliwrath,Base,Rare Holo,22.02
base1-14,Raichu,Base,Rare Holo,46.07
base1-15,Venusaur,Base,Rare Holo,114.22
base1-16,Zapdos,Base,Rare Holo,37.23
base1-17,Beedrill,Base,Rare,N/A
base1-18,Dragonair,Base,Rare,N/A
base1-19,Dugtrio,Base,Rare,N/A
base1-20,Electabuzz,Base,Rare,N/A
